id,type,type-id,score,name,address,coordinates,area,life-span,disambiguation,aliases
3172a3c6-3e99-4c04-958e-f1b21967bb8c,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Low Spirit Studios,"Low Spirit Recordings GmbH, Franklinstraße 14, D-10587 Berlin","{'latitude': '52.521483', 'longitude': '13.32822'}","{'id': 'c9ac1239-e832-41bc-9930-e252a1fd1105', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Berlin', 'sort-name': 'Berlin', 'life-span': {'ended': None}}",{'ended': None},,
3755c1ad-eadb-4f53-b9a9-392e9e47be8e,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Chicago Sound Factory,"5219 N. Clark St., Chicago, IL 60640","{'latitude': '41.976846', 'longitude': '-87.66824'}","{'id': '29a709d8-0320-493e-8d0c-f2c386662b7f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Chicago', 'sort-name': 'Chicago', 'life-span': {'ended': None}}",{'ended': True},,
a0bf2ee6-18c7-4d10-b7db-779aa99227f5,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Small Fish Recordings,"6 Shipland Houses, Pluckley, Ashford, Kent TN27 0PA, United Kingdom","{'latitude': '51.176348', 'longitude': '0.754143'}","{'id': '24404231-7564-4b11-9168-95dd148049a7', 'type': 'Subdivision', 'type-id': 'fd3d44c5-80a1-3842-9745-2c4972d35afa', 'name': 'Kent', 'sort-name': 'Kent', 'life-span': {'ended': None}}",{'ended': None},,
e14a86ad-8593-4548-9754-d28c17e58b61,Other,a0df5ead-0bd6-33d8-8444-855a9f3e9970,100,Hale Mill,,"{'latitude': '51.436672', 'longitude': '-0.512032'}","{'id': '0de8eaa2-0636-4c0a-ac11-cba52027b7d4', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Staines-upon-Thames', 'sort-name': 'Staines-upon-Thames', 'life-span': {'ended': None}}",{'ended': None},,
11853b92-ef85-42c5-be70-1f450436d321,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,die:mischbatterie,"Mitterfeldstraße 6, 83083 Riedering","{'latitude': '47.833884', 'longitude': '12.210126'}","{'id': '67544f6e-a94d-4555-8591-d1b176b6796e', 'type': 'Municipality', 'type-id': '17246454-5ac4-36a1-b81a-4753eb2dab20', 'name': 'Riedering', 'sort-name': 'Riedering', 'life-span': {'ended': None}}",{'ended': None},,
94e16ac5-97f5-4df5-a68c-643199f632b6,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Big Sound,,,"{'id': '71e43d18-c6f2-4c6f-8026-5f85af905bcd', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Portland', 'sort-name': 'Portland', 'life-span': {'ended': None}}",{'ended': None},,
39e8cd94-f136-43ce-8001-8625b4922b99,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,WPIX Studios,,,"{'id': '74e50e58-5deb-4b99-93a2-decbb365c07f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'New York', 'sort-name': 'New York', 'life-span': {'ended': None}}","{'begin': '1948-06', 'ended': None}",,
e5cde56b-8cb1-4a25-9fd8-b90a8b6b2e7b,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,"Armin Steiner's Sound Labs, Inc.",,,"{'id': '489ce91b-6658-3307-9877-795b68554c98', 'type': 'Country', 'type-id': '06dd0ae4-8c74-30bb-b43d-95dcedf961de', 'name': 'United States', 'sort-name': 'United States', 'life-span': {'ended': None}}",{'ended': None},,
88b4f126-aba3-4f25-81d3-b9250296f16c,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,The Jacaranda Room,,,"{'id': '1f40c6e1-47ba-4e35-996f-fe6ee5840e62', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Los Angeles', 'sort-name': 'Los Angeles', 'life-span': {'ended': None}}",{'ended': None},Trevor Rabin's home studio,
28c263e0-f58a-42a0-a24c-6ee5209180e5,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,STEIM,"Achtergracht 19, 1017 WL Amsterdam","{'latitude': '52.361492', 'longitude': '4.901442'}","{'id': 'e8e317a1-268c-4e46-9db1-f10af959ffca', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Amsterdam', 'sort-name': 'Amsterdam', 'life-span': {'ended': None}}","{'begin': '1969', 'ended': None}",,
